Journal,Language,Title,StudentsMark,ReproducibilityValue
JOSS,Python,Autorank: A Python package for automated ranking of classifiers,4,0.95
JSTAT,R,Beyond Tandem Analysis: Joint Dimension Reduction and Clustering in R,5,1
JSTAT,Python,CoClust: A Python Package for Co-Clustering,2,0.3
JSTAT,R,corr2D: Implementation of Two-Dimensional Correlation Analysis in R,4,1
JSTAT,R,frailtyEM: An R Package for Estimating Semiparametric Shared Frailty Models,4,0.79
JOSS,Python,Graph Transliterator: A graph-based transliteration tool,4,0.93
JMLR,Python,HyperTools: a Python Toolbox for Gaining Geometric Insights into High-Dimensional Data,5,0.96
JOSS,R,iml: An R package for Interpretable Machine Learning,5,1
JOSS,R,learningCurve: An implementation of Crawford's and Wright's learning curve production functions,5,1
JOSS,R,mimosa: A Modern Graphical User Interface for 2-level Mixed Models,3,0.67
JMLR,R,mlr: Machine Learning in R,4,0.98
JMLR,R,Model-based Boosting 2.0,4,0.95
JSTAT,Python,"Natter: A Python Natural Image Statistics Toolbox
",2,0
JSTAT,R,Network Coincidence Analysis: The netCoin R Package,4,0.91
JMLR,Python,OpenEnsembles: A Python Resource for Ensemble Clustering,2,0.78
JOSS,R,origami: A Generalized Framework for Cross-Validation in R,5,1
JOSS,Python,py-pde: A Python package for solving partial differential equations,2,0.86
JOSS,Python,PyEscape: A narrow escape problem simulator packagefor Python,2,0.8
JOSS,Python,Pyglmnet: Python implementation of elastic-net regularized generalized linear models,5,0.98
JSTAT,Python,pyParticleEst: A Python Framework for Particle-Based Estimation Methods,3,0.67
JSTAT,Python,"PypeR, A Python Package for Using R in Python",3,1
JOSS,R,"Rclean: A Tool for Writing Cleaner, More Transparent Code",5,1
JMLR,Python,RLPy: A Value-Function-Based Reinforcement Learning Framework for Education and Research,2,0.59
JSTAT,R,rmcfs: An R Package for Monte Carlo Feature Selection and Interdependency Discovery,2,0.57
JMLR,Python,Seglearn: A Python Package for Learning Sequences and Time Series,4,0.88
JSTAT,Python,Simulated Data for Linear Regression with Structured and Sparse Penalties: Introducing pylearn-simulate,2,0.3
JOSS,R,tacmagic: Positron emission tomography analysis in R,5,1
JMLR,Python,TensorLy: Tensor Learning in Python,3,1
JMLR,R,The flare Package for High Dimensional Linear Regression and Precision Matrix Estimation in R ,3,1
JMLR,R,The huge Package for High-dimensional Undirected Graph Estimation in R ,3,1
